order_id,user_id,order_number,order_dow,order_hour_of_day,days_since_prior_order,product_id,product_name,aisle,department,quantity,unit_price,reordered,order_date
1,101,1,1,9,,24852,Banana,fresh fruits,produce,2,0.35,0,2025-01-03
1,101,1,1,9,,13176,Bag of Organic Bananas,fresh fruits,produce,1,1.99,0,2025-01-03
2,102,1,2,14,,21137,Organic Strawberries,fresh fruits,produce,1,3.99,0,2025-01-04
3,101,2,5,18,4,24852,Banana,fresh fruits,produce,3,0.35,1,2025-01-07
4,103,1,6,11,,21903,Organic Baby Spinach,packaged vegetables fruits,produce,1,4.49,0,2025-02-10
5,104,1,0,16,,47209,Organic Hass Avocado,fresh fruits,produce,4,1.50,0,2025-02-11
6,102,2,3,12,39,21137,Organic Strawberries,fresh fruits,produce,2,3.99,1,2025-02-12
7,105,1,4,20,,16797,Strawberries,fresh fruits,produce,1,2.99,0,2025-03-01
8,101,3,1,10,53,13176,Bag of Organic Bananas,fresh fruits,produce,2,1.99,1,2025-03-03
9,103,2,2,15,22,21903,Organic Baby Spinach,packaged vegetables fruits,produce,2,4.49,1,2025-03-04
10,106,1,5,8,,45007,Organic Zucchini,fresh vegetables,produce,3,0.99,0,2025-03-15
11,104,2,6,13,32,47209,Organic Hass Avocado,fresh fruits,produce,2,1.50,1,2025-04-01

